股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1216,統一企業,1657000.0,1.18,1657000.0,0.0,持平
1301,台灣塑膠工業,1103000.0,0.68,1103000.0,0.0,持平
1477,已清倉,0.0,,0.0,0.0,持平
1504,東元電機,2904000.0,1.92,2904000.0,0.0,持平
1519,已清倉,0.0,,0.0,0.0,持平
1605,已清倉,0.0,,0.0,0.0,持平
1802,已清倉,0.0,,0.0,0.0,持平
2027,大成不銹鋼工業,2097000.0,0.95,2097000.0,0.0,持平
2049,已清倉,0.0,,0.0,0.0,持平
2059,川湖科技,1000.0,0.12,1000.0,0.0,持平
2303,聯華電子,766000.0,1.14,766000.0,0.0,持平
2308,台達電子工業,105000.0,1.74,105000.0,0.0,持平
2313,已清倉,0.0,,0.0,0.0,持平
2317,鴻海精密工業,1021000.0,2.44,1021000.0,0.0,持平
2327,國巨,327000.0,1.71,327000.0,0.0,持平
2330,台灣積體電路製造,637000.0,14.93,637000.0,0.0,持平
2344,華邦電子,243000.0,0.42,243000.0,0.0,持平
2345,智邦科技,80000.0,1.41,80000.0,0.0,持平
2357,已清倉,0.0,,0.0,0.0,持平
2360,致茂電子,43000.0,0.94,43000.0,0.0,持平
2368,金像電子（股）公司,1000.0,0.01,1000.0,0.0,持平
2376,技嘉科技,1215000.0,4.12,1215000.0,0.0,持平
2377,微星科技,1213000.0,1.79,1213000.0,0.0,持平
2379,已清倉,0.0,,0.0,0.0,持平
2382,已清倉,0.0,,0.0,0.0,持平
2383,台光電子材料,62000.0,2.89,52000.0,10000.0,加碼
2395,研華,444000.0,2.92,444000.0,0.0,持平
2408,南亞科技,79000.0,0.4,79000.0,0.0,持平
2412,中華電信,2828000.0,3.92,2828000.0,0.0,持平
2449,已清倉,0.0,,0.0,0.0,持平
2454,聯發科技,67000.0,3.01,67000.0,0.0,持平
2474,已清倉,0.0,,0.0,0.0,持平
2603,長榮海運,726000.0,1.66,726000.0,0.0,持平
2610,中華航空,8783000.0,1.69,8783000.0,0.0,持平
2881,富邦金融控股,139000.0,0.2,1004000.0,-865000.0,減碼
2884,已清倉,0.0,,0.0,0.0,持平
2891,中國信託金融控股,297000.0,0.2,2652000.0,-2355000.0,減碼
3008,大立光電,17000.0,1.04,1000.0,16000.0,加碼
3017,奇鋐科技,71000.0,2.32,58000.0,13000.0,加碼
3036,文曄科技,1000.0,0.0,1000.0,0.0,持平
3037,欣興電子,198000.0,1.85,198000.0,0.0,持平
3081,聯亞光電工業,38000.0,1.04,17000.0,21000.0,加碼
3105,穩懋半導體,217000.0,1.03,217000.0,0.0,持平
3131,弘塑科技,12000.0,0.28,12000.0,0.0,持平
3189,景碩科技,196000.0,1.55,196000.0,0.0,持平
3231,已清倉,0.0,,0.0,0.0,持平
3264,已清倉,0.0,,0.0,0.0,持平
3293,已清倉,0.0,,0.0,0.0,持平
3491,昇達科技,210000.0,3.13,107000.0,103000.0,加碼
3529,已清倉,0.0,,0.0,0.0,持平
3533,已清倉,0.0,,0.0,0.0,持平
3653,健策精密工業,13000.0,0.68,13000.0,0.0,持平
3661,世芯電子,47000.0,1.59,47000.0,0.0,持平
3665,貿聯控股（BizLink Holding In,74000.0,1.56,74000.0,0.0,持平
3706,已清倉,0.0,,0.0,0.0,持平
3711,日月光投資控股,706000.0,4.29,706000.0,0.0,持平
4749,已清倉,0.0,,0.0,0.0,持平
4904,遠傳電信,3832000.0,3.91,3832000.0,0.0,持平
4958,已清倉,0.0,,0.0,0.0,持平
5274,已清倉,0.0,,0.0,0.0,持平
6147,頎邦科技,390000.0,0.85,390000.0,0.0,持平
6187,萬潤科技,60000.0,0.71,60000.0,0.0,持平
6223,已清倉,0.0,,0.0,0.0,持平
6239,已清倉,0.0,,0.0,0.0,持平
6274,已清倉,0.0,,0.0,0.0,持平
6409,已清倉,0.0,,0.0,0.0,持平
6415,已清倉,0.0,,0.0,0.0,持平
6442,光紅建聖,140000.0,2.1,140000.0,0.0,持平
6446,藥華醫藥,138000.0,1.55,138000.0,0.0,持平
6488,環球晶圓,143000.0,1.29,143000.0,0.0,持平
6505,已清倉,0.0,,0.0,0.0,持平
6515,已清倉,0.0,,0.0,0.0,持平
6669,緯穎科技服務,114036.0,2.32,114036.0,0.0,持平
6781,已清倉,0.0,,0.0,0.0,持平
6789,已清倉,0.0,,0.0,0.0,持平
6805,已清倉,0.0,,0.0,0.0,持平
7750,新代科技,80000.0,1.49,80000.0,0.0,持平
7769,鴻勁精密,18000.0,1.12,18000.0,0.0,持平
8046,南亞電路板,192000.0,2.01,192000.0,0.0,持平
8210,已清倉,0.0,,0.0,0.0,持平
8299,群聯電子,1000.0,0.02,1000.0,0.0,持平
8996,高力熱處理工業,76000.0,1.04,76000.0,0.0,持平
