股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1216,統一企業,3294000.0,2.72,3294000.0,0.0,持平
1477,聚陽實業,433000.0,1.48,433000.0,0.0,持平
1519,華城電機,68000.0,0.74,68000.0,0.0,持平
1605,華新麗華,5087000.0,1.92,5087000.0,0.0,持平
2059,川湖科技,5000.0,0.19,5000.0,0.0,持平
2308,台達電子工業,160000.0,2.58,160000.0,0.0,持平
2313,已清倉,0.0,,0.0,0.0,持平
2317,鴻海精密工業,640000.0,1.62,640000.0,0.0,持平
2327,國巨,431000.0,1.28,431000.0,0.0,持平
2330,台灣積體電路製造,839000.0,18.65,839000.0,0.0,持平
2344,華邦電子,851000.0,1.09,851000.0,0.0,持平
2345,智邦科技,104000.0,1.85,104000.0,0.0,持平
2357,已清倉,0.0,,0.0,0.0,持平
2360,致茂電子,100000.0,1.76,100000.0,0.0,持平
2368,金像電子（股）公司,90000.0,0.97,90000.0,0.0,持平
2379,已清倉,0.0,,0.0,0.0,持平
2382,廣達電腦,299000.0,1.02,299000.0,0.0,持平
2383,台光電子材料,52000.0,1.59,52000.0,0.0,持平
2395,研華,900000.0,3.66,900000.0,0.0,持平
2408,南亞科技,172000.0,0.49,172000.0,0.0,持平
2412,中華電信,1227000.0,1.97,1227000.0,0.0,持平
2449,京元電子,236000.0,0.83,236000.0,0.0,持平
2454,聯發科技,121000.0,2.55,121000.0,0.0,持平
2881,富邦金融控股,2051100.0,2.16,2051100.0,0.0,持平
2884,已清倉,0.0,,0.0,0.0,持平
2891,中國信託金融控股,1631000.0,0.99,1631000.0,0.0,持平
3017,奇鋐科技,68000.0,1.5,68000.0,0.0,持平
3036,文曄科技,757000.0,2.07,757000.0,0.0,持平
3037,欣興電子,353000.0,2.0,353000.0,0.0,持平
3105,穩懋半導體,226000.0,0.82,226000.0,0.0,持平
3231,已清倉,0.0,,0.0,0.0,持平
3264,欣銓科技,609000.0,1.09,609000.0,0.0,持平
3293,鈊象電子,321000.0,2.75,321000.0,0.0,持平
3529,力旺電子,13000.0,0.38,13000.0,0.0,持平
3533,嘉澤端子工業,160000.0,3.41,160000.0,0.0,持平
3653,健策精密工業,33000.0,1.34,33000.0,0.0,持平
3661,世芯電子,47000.0,1.84,47000.0,0.0,持平
3665,貿聯控股（BizLink Holding In,42000.0,0.81,42000.0,0.0,持平
3706,已清倉,0.0,,0.0,0.0,持平
3711,日月光投資控股,355000.0,1.4,355000.0,0.0,持平
4749,新應材,302000.0,3.5,302000.0,0.0,持平
4904,遠傳電信,1813000.0,1.97,1813000.0,0.0,持平
5274,信驊科技,3000.0,0.37,3000.0,0.0,持平
6223,旺矽科技,43000.0,1.83,43000.0,0.0,持平
6239,力成科技,468000.0,1.13,468000.0,0.0,持平
6274,台燿科技,123000.0,0.66,123000.0,0.0,持平
6409,已清倉,0.0,,0.0,0.0,持平
6415,矽力杰,107000.0,0.34,107000.0,0.0,持平
6442,光紅建聖,57000.0,1.14,57000.0,0.0,持平
6488,環球晶圓,313000.0,1.58,313000.0,0.0,持平
6515,穎崴科技,16000.0,1.19,16000.0,0.0,持平
6669,緯穎科技服務,24000.0,1.16,24000.0,0.0,持平
6781,AES Holding Co Ltd,60000.0,0.71,60000.0,0.0,持平
6789,采鈺科技,373000.0,1.55,373000.0,0.0,持平
6805,富世達,51000.0,1.11,51000.0,0.0,持平
7769,鴻勁精密,13000.0,0.66,13000.0,0.0,持平
8046,已清倉,0.0,,0.0,0.0,持平
8210,勤誠興業,88000.0,0.91,88000.0,0.0,持平
