股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1216,統一企業,413000,0.43,413000,0,持平
1477,聚陽實業,152000,0.66,152000,0,持平
1519,華城電機,64000,0.72,64000,0,持平
1605,華新麗華,6744000,3.67,6744000,0,持平
2059,川湖科技,24000,1.11,24000,0,持平
2308,台達電子工業,153000,2.22,153000,0,持平
2313,華通電腦,1011000,1.77,1011000,0,持平
2317,鴻海精密工業,735000,2.31,735000,0,持平
2327,國巨,449000,1.53,449000,0,持平
2330,台灣積體電路製造,887000,20.64,887000,0,持平
2344,華邦電子,1347000,1.89,1347000,0,持平
2345,智邦科技,162000,2.69,162000,0,持平
2357,華碩電腦,133000,1.0,133000,0,持平
2360,致茂電子,99000,1.3,99000,0,持平
2368,金像電子（股）公司,135000,1.24,135000,0,持平
2379,瑞昱半導體,17000,0.13,17000,0,持平
2382,廣達電腦,325000,1.26,325000,0,持平
2383,台光電子材料,71000,1.57,71000,0,持平
2408,南亞科技,445000,1.46,445000,0,持平
2412,中華電信,1600000,2.94,1600000,0,持平
2449,京元電子,283000,1.05,283000,0,持平
2454,聯發科技,153000,3.04,153000,0,持平
2881,富邦金融控股,2051100,2.68,2051100,0,持平
2884,玉山金融控股,2046000,0.92,2046000,0,持平
2891,中國信託金融控股,2590000,1.78,2590000,0,持平
3017,奇鋐科技,80000,1.49,80000,0,持平
3036,文曄科技,933000,1.85,933000,0,持平
3037,欣興電子,312000,1.05,312000,0,持平
3231,緯創資通,291000,0.59,291000,0,持平
3293,鈊象電子,230000,2.35,230000,0,持平
3533,嘉澤端子工業,5000,0.1,5000,0,持平
3653,健策精密工業,37000,1.29,37000,0,持平
3661,世芯電子,27000,1.35,27000,0,持平
3665,貿聯控股（BizLink Holding In,61148,1.17,61148,0,持平
3706,神達控股,273000,0.33,273000,0,持平
3711,日月光投資控股,498000,1.94,498000,0,持平
4749,新應材,108000,1.38,108000,0,持平
4904,遠傳電信,1362000,1.67,1362000,0,持平
5274,信驊科技,9000,1.0,9000,0,持平
6223,旺矽科技,42000,1.27,42000,0,持平
6274,台燿科技,158000,1.03,158000,0,持平
6409,旭隼科技,65000,0.9,65000,0,持平
6442,光紅建聖,47000,0.92,47000,0,持平
6488,環球晶圓,222000,1.44,222000,0,持平
6515,穎崴科技,51000,2.44,51000,0,持平
6669,緯穎科技服務,16000,0.9,16000,0,持平
6781,AES Holding Co Ltd,9000,0.16,9000,0,持平
6805,富世達,46000,0.84,46000,0,持平
8046,南亞電路板,23000,0.08,23000,0,持平
8210,勤誠興業,27000,0.34,27000,0,持平
