股票代號,股票名稱,股數,權重(%)
2330,台積電,11464000.0,9.77
2454,聯發科,5086000.0,9.26
3037,欣興,20100000.0,8.2
2383,台光電,4650000.0,8.09
3017,奇鋐,5889000.0,7.21
3653,健策,2502000.0,5.96
2327,國巨*,24757000.0,4.95
2308,台達電,7320000.0,4.82
6223,旺矽,2499000.0,4.66
2303,聯電,87118000.0,4.62
2345,智邦,6264000.0,4.09
8046,南電,8937000.0,3.82
6669,緯穎,4873561.0,3.55
3711,日月光投控,13966000.0,3.36
3665,貿聯-KY,3876848.0,3.12
6274,台燿,5886000.0,3.03
6805,富世達,1673000.0,1.46
2449,京元電子,12938450.0,1.39
5274,信驊,168900.0,1.15
3443,創意,388000.0,1.14
2368,金像電,1634000.0,0.62
4958,臻鼎-KY,3483000.0,0.57
3264,欣銓,4982000.0,0.42
8210,勤誠,1139000.0,0.35
6510,精測,251000.0,0.29
8996,高力,476000.0,0.25
6278,台表科,3193000.0,0.23
6515,穎崴,93000.0,0.19
6271,同欣電,2185000.0,0.17
6191,精成科,3921000.0,0.11
3376,新日興,1740000.0,0.1
2313,華通,501000.0,0.04
2002,中鋼,5163000.0,0.03
8358,金居,1000.0,0.0
3661,世芯-KY,1000.0,0.0
2439,美律,1000.0,0.0
1590,亞德客-KY,1000.0,0.0
3008,大立光,1000.0,0.0
2382,廣達,1000.0,0.0
6187,萬潤,1000.0,0.0
4979,華星光,1000.0,0.0
2408,南亞科,1000.0,0.0
2637,慧洋-KY,1000.0,0.0
2360,致茂,1000.0,0.0
6488,環球晶,1000.0,0.0
4966,譜瑞-KY,1000.0,0.0
8150,南茂,1000.0,0.0
2317,鴻海,1000.0,0.0
5347,世界,1000.0,0.0
2481,強茂,5000.0,0.0
