股票代號,股票名稱,股數,權重(%)
2330,台積電,11157000.0,9.31
2383,台光電,4605000.0,8.45
2345,智邦,6231000.0,5.74
2454,聯發科,4463000.0,5.68
2308,台達電,6218000.0,5.1
3665,貿聯-KY,4703848.0,4.79
2368,金像電,8260000.0,4.43
8046,南電,12658000.0,4.41
3017,奇鋐,4082000.0,3.69
3653,健策,2267000.0,3.62
6223,旺矽,1922000.0,3.53
5274,信驊,483000.0,3.35
6669,緯穎,1819000.0,3.35
3037,欣興,10387000.0,3.3
3711,日月光投控,11259000.0,2.19
2327,國巨*,17221000.0,2.16
6274,台燿,3778000.0,1.84
6515,穎崴,422000.0,1.59
2303,聯電,46374000.0,1.57
2449,京元電子,12919000.0,1.57
2317,鴻海,14177000.0,1.32
6510,精測,930000.0,1.31
6805,富世達,1761000.0,1.23
3443,創意,616000.0,1.13
3189,景碩,5360000.0,0.96
8358,金居,5558000.0,0.95
3264,欣銓,8608000.0,0.72
8210,勤誠,1340000.0,0.66
6187,萬潤,1224000.0,0.55
6147,頎邦,7985000.0,0.52
3661,世芯-KY,296000.0,0.5
5439,高技,3228000.0,0.49
8996,高力,1034000.0,0.45
2404,漢唐,1093000.0,0.4
1590,亞德客-KY,530000.0,0.28
2313,華通,2624000.0,0.24
2357,華碩,975000.0,0.23
2337,旺宏,3056000.0,0.19
6191,精成科,3988000.0,0.15
2481,強茂,3654000.0,0.14
3376,新日興,1741000.0,0.13
6415,矽力*-KY,660000.0,0.1
4966,譜瑞-KY,386000.0,0.08
3217,優群,874000.0,0.06
2002,中鋼,5163000.0,0.04
8150,南茂,468000.0,0.02
1319,東陽,511000.0,0.01
1815,富喬,107000.0,0.0
2439,美律,18000.0,0.0
5347,世界,63000.0,0.0
