股票代號,股票名稱,股數,權重(%)
2330,台積電,11960000.0,10.33
2327,國巨*,25098000.0,8.86
2383,台光電,4486000.0,8.62
2454,聯發科,5037000.0,7.3
2345,智邦,6334000.0,5.88
6223,旺矽,2382000.0,5.73
2303,聯電,86550000.0,5.04
3037,欣興,15203000.0,4.89
3017,奇鋐,5191000.0,4.87
6669,緯穎,2417000.0,4.27
2368,金像電,8315000.0,3.58
2308,台達電,5052000.0,3.54
8046,南電,8949000.0,3.38
3665,貿聯-KY,4833848.0,3.3
3711,日月光投控,12742000.0,3.04
6274,台燿,5160000.0,2.95
3653,健策,2267000.0,2.64
5274,信驊,379000.0,2.17
8210,勤誠,2267000.0,1.03
6805,富世達,1811000.0,1.0
6515,穎崴,226000.0,0.71
6187,萬潤,1334000.0,0.48
6147,頎邦,6275000.0,0.48
6510,精測,411000.0,0.44
5439,高技,3528000.0,0.43
2449,京元電子,3427000.0,0.42
6278,台表科,4334000.0,0.31
6271,同欣電,2966000.0,0.28
1590,亞德客-KY,528000.0,0.26
6191,精成科,3988000.0,0.15
3264,欣銓,1508000.0,0.14
3376,新日興,1741000.0,0.12
4966,譜瑞-KY,140000.0,0.03
2002,中鋼,5163000.0,0.03
6488,環球晶,50000.0,0.02
8996,高力,1000.0,0.0
8358,金居,1000.0,0.0
3661,世芯-KY,1000.0,0.0
1815,富喬,107000.0,0.0
3443,創意,1000.0,0.0
2439,美律,1000.0,0.0
3008,大立光,1000.0,0.0
4958,臻鼎-KY,1000.0,0.0
2382,廣達,1000.0,0.0
3533,嘉澤,1000.0,0.0
2313,華通,1000.0,0.0
8150,南茂,1000.0,0.0
2317,鴻海,1000.0,0.0
5347,世界,1000.0,0.0
2481,強茂,5000.0,0.0
