股票代號,股票名稱,股數,權重(%)
2330,台積電,2992000.0,9.14
2308,台達電,3093000.0,6.77
2383,台光電,1809000.0,6.76
3017,奇鋐,2352000.0,6.36
2345,智邦,2625000.0,5.63
8299,群聯,1614000.0,4.67
6223,旺矽,1024000.0,4.62
6669,緯穎,741000.0,4.54
3653,健策,940000.0,4.49
6274,台燿,4965000.0,4.14
3665,貿聯-KY,1841848.0,3.98
8046,南電,4559000.0,3.88
3037,欣興,5190000.0,3.83
2368,金像電,2887000.0,3.65
2327,國巨*,6729000.0,3.07
3661,世芯-KY,559000.0,2.99
6805,富世達,1094000.0,2.87
8210,勤誠,1563000.0,2.2
5274,信驊,128000.0,1.91
6515,穎崴,231000.0,1.81
6510,精測,287000.0,1.65
6139,亞翔,1653000.0,1.48
2449,京元電子,2626000.0,1.32
2404,漢唐,535000.0,0.93
8358,金居,1826000.0,0.81
3211,順達,1197000.0,0.57
6191,精成科,3326000.0,0.56
1802,台玻,5996000.0,0.56
6488,環球晶,786000.0,0.55
4979,華星光,819000.0,0.53
3376,新日興,1343000.0,0.43
2317,鴻海,863000.0,0.32
1319,東陽,1497000.0,0.23
2002,中鋼,4923000.0,0.16
3324,雙鴻,76000.0,0.13
3217,優群,326000.0,0.08
3008,大立光,3000.0,0.01
2059,川湖,1000.0,0.01
2357,華碩,2000.0,0.0
8996,高力,1000.0,0.0
1815,富喬,1000.0,0.0
2439,美律,2000.0,0.0
1326,台化,1000.0,0.0
3533,嘉澤,1000.0,0.0
3045,台灣大,2000.0,0.0
2454,聯發科,1000.0,0.0
5536,聖暉*,1000.0,0.0
2313,華通,1000.0,0.0
1303,南亞,1000.0,0.0
3583,辛耘,2000.0,0.0
3711,日月光投控,2000.0,0.0
