股票代號,股票名稱,股數,權重(%)
2330,台積電,11960000.0,9.97
2383,台光電,4486000.0,7.45
2454,聯發科,4263000.0,6.66
2308,台達電,6572000.0,5.55
2345,智邦,6231000.0,5.54
2327,國巨*,18313000.0,5.16
3017,奇鋐,5191000.0,5.09
6669,緯穎,2437000.0,4.69
6223,旺矽,2169000.0,4.4
3037,欣興,12466000.0,4.29
3711,日月光投控,17948000.0,3.81
3665,貿聯-KY,4703848.0,3.73
2368,金像電,7769000.0,3.7
8046,南電,10828000.0,3.36
2303,聯電,71690000.0,3.22
3653,健策,2267000.0,3.04
5274,信驊,422000.0,2.61
6274,台燿,4400000.0,2.56
6805,富世達,1761000.0,1.26
6515,穎崴,442000.0,1.25
8210,勤誠,2167000.0,1.08
6510,精測,930000.0,1.06
2382,廣達,5441000.0,0.78
2317,鴻海,7307000.0,0.78
3533,嘉澤,852000.0,0.75
6147,頎邦,5775000.0,0.55
6187,萬潤,1334000.0,0.49
2404,漢唐,1200000.0,0.48
3008,大立光,329000.0,0.45
5439,高技,3528000.0,0.45
4966,譜瑞-KY,1642000.0,0.45
2449,京元電子,3645000.0,0.4
8996,高力,1034000.0,0.39
8150,南茂,11635000.0,0.38
6278,台表科,3734000.0,0.27
3443,創意,167000.0,0.26
1590,亞德客-KY,530000.0,0.25
8358,金居,980000.0,0.21
6191,精成科,3988000.0,0.14
3376,新日興,1741000.0,0.14
6271,同欣電,686000.0,0.06
2002,中鋼,5163000.0,0.03
2313,華通,329000.0,0.03
1319,東陽,511000.0,0.02
3264,欣銓,1000.0,0.0
2357,華碩,1000.0,0.0
3661,世芯-KY,1000.0,0.0
1815,富喬,107000.0,0.0
2439,美律,18000.0,0.0
5347,世界,1000.0,0.0
2481,強茂,5000.0,0.0
