股票代號,股票名稱,股數,權重(%)
2330,台積電,11960000.0,9.73
2383,台光電,4486000.0,8.26
2454,聯發科,4649000.0,6.87
2327,國巨*,21168000.0,6.44
2345,智邦,6334000.0,5.21
2308,台達電,6572000.0,5.13
6223,旺矽,2169000.0,4.78
6669,緯穎,2492000.0,4.41
3017,奇鋐,5191000.0,4.38
2368,金像電,8315000.0,4.04
3037,欣興,12466000.0,3.85
3665,貿聯-KY,4783848.0,3.74
3711,日月光投控,17948000.0,3.53
2303,聯電,73690000.0,3.33
8046,南電,10828000.0,3.16
3653,健策,2267000.0,2.97
5274,信驊,422000.0,2.69
6274,台燿,4763000.0,2.54
6515,穎崴,442000.0,1.39
8210,勤誠,2267000.0,1.18
6510,精測,930000.0,1.14
6805,富世達,1761000.0,1.11
2317,鴻海,7307000.0,0.68
3533,嘉澤,852000.0,0.66
2404,漢唐,1200000.0,0.52
6187,萬潤,1334000.0,0.5
6147,頎邦,5775000.0,0.46
5439,高技,3528000.0,0.44
8996,高力,1034000.0,0.43
8150,南茂,11635000.0,0.41
4966,譜瑞-KY,1642000.0,0.39
2449,京元電子,3645000.0,0.36
6278,台表科,3734000.0,0.26
3443,創意,167000.0,0.25
1590,亞德客-KY,530000.0,0.24
8358,金居,980000.0,0.19
6191,精成科,3988000.0,0.13
3376,新日興,1741000.0,0.13
6271,同欣電,686000.0,0.05
2002,中鋼,5163000.0,0.03
2313,華通,329000.0,0.03
1319,東陽,278000.0,0.01
3264,欣銓,1000.0,0.0
3661,世芯-KY,1000.0,0.0
1815,富喬,107000.0,0.0
2439,美律,18000.0,0.0
3008,大立光,1000.0,0.0
2382,廣達,1000.0,0.0
5347,世界,1000.0,0.0
2481,強茂,5000.0,0.0
