股票代號,股票名稱,股數,權重(%)
2330,台積電,11960000.0,9.67
2383,台光電,4486000.0,7.68
2454,聯發科,4861000.0,7.4
2327,國巨*,21168000.0,6.77
2345,智邦,6334000.0,5.24
6223,旺矽,2279000.0,4.99
2308,台達電,6572000.0,4.94
3017,奇鋐,5191000.0,4.26
6669,緯穎,2492000.0,4.16
3037,欣興,12466000.0,4.07
2368,金像電,8315000.0,3.74
3665,貿聯-KY,4833848.0,3.73
2303,聯電,77390000.0,3.73
3711,日月光投控,17948000.0,3.61
8046,南電,10828000.0,3.17
3653,健策,2267000.0,2.96
5274,信驊,422000.0,2.56
6274,台燿,4763000.0,2.55
6515,穎崴,442000.0,1.49
6510,精測,930000.0,1.14
8210,勤誠,2267000.0,1.1
6805,富世達,1811000.0,1.07
3533,嘉澤,852000.0,0.67
2317,鴻海,7307000.0,0.67
2404,漢唐,1200000.0,0.56
6187,萬潤,1334000.0,0.51
6147,頎邦,5875000.0,0.47
8996,高力,1034000.0,0.44
3443,創意,258000.0,0.42
5439,高技,3528000.0,0.4
4966,譜瑞-KY,1642000.0,0.38
8150,南茂,11635000.0,0.38
2449,京元電子,3645000.0,0.35
6278,台表科,4334000.0,0.32
4958,臻鼎-KY,1428000.0,0.29
1590,亞德客-KY,530000.0,0.24
8358,金居,980000.0,0.21
6191,精成科,3988000.0,0.14
3376,新日興,1741000.0,0.12
6488,環球晶,350000.0,0.11
6271,同欣電,1066000.0,0.09
2002,中鋼,5163000.0,0.03
2313,華通,329000.0,0.03
3264,欣銓,1000.0,0.0
3661,世芯-KY,1000.0,0.0
1815,富喬,107000.0,0.0
2439,美律,18000.0,0.0
3008,大立光,1000.0,0.0
2382,廣達,1000.0,0.0
5347,世界,1000.0,0.0
2481,強茂,5000.0,0.0
